iter	Passed	Remaining
852	32074	24328
853	32110	24289
854	32145	24249
855	32178	24209
856	32213	24169
857	32250	24131
858	32285	24092
859	32319	24051
860	32353	24011
861	32392	23975
862	32440	23945
863	32484	23912
864	32518	23871
865	32551	23831
866	32584	23790
867	32619	23750
868	32655	23711
869	32691	23672
870	32727	23634
871	32762	23594
872	32798	23556
873	32833	23516
874	32868	23477
875	32907	23440
876	33003	23444
877	33046	23410
878	33080	23370
879	33118	23333
880	33153	23294
881	33186	23253
882	33222	23214
883	33257	23175
884	33293	23136
885	33330	23098
886	33365	23058
887	33402	23020
888	33436	22980
889	33485	22950
890	33528	22917
891	33568	22880
892	33601	22840
893	33636	22800
894	33670	22760
895	33705	22720
896	33741	22682
897	33777	22643
898	33815	22606
899	33849	22566
900	33881	22525
901	33916	22485
902	33951	22446
903	33987	22407
904	34086	22410
905	34131	22377
906	34167	22339
907	34208	22303
908	34243	22263
909	34277	22223
910	34312	22184
911	34347	22145
912	34382	22105
913	34421	22068
914	34455	22028
915	34489	21988
916	34527	21951
917	34576	21920
918	34617	21885
919	34659	21850
920	34693	21810
921	34728	21771
922	34763	21731
923	34796	21691
924	34830	21651
925	34864	21611
926	34902	21573
927	34935	21533
928	34970	21494
929	35004	21454
930	35040	21415
931	35184	21442
932	35227	21408
933	35263	21369
934	35297	21329
935	35333	21290
936	35368	21251
937	35404	21212
938	35439	21172
939	35474	21133
940	35508	21094
941	35544	21054
942	35581	21016
943	35628	20984
944	35677	20953
945	35715	20916
946	35751	20877
947	35785	20837
948	35819	20797
949	35856	20759
950	35891	20719
951	35926	20680
952	35961	20641
953	35997	20602
954	36032	20562
955	36070	20525
956	36106	20486
957	36140	20447
958	36241	20444
959	36288	20412
960	36323	20373
961	36356	20332
962	36390	20292
963	36426	20253
964	36465	20216
965	36504	20179
966	36539	20139
967	36575	20101
968	36609	20061
969	36641	20020
970	36683	19985
971	36735	19955
972	36769	19915
973	36802	19874
974	36837	19835
975	36872	19796
976	36906	19756
977	36945	19719
978	36981	19680
979	37015	19640
980	37048	19600
981	37081	19560
982	37114	19520
983	37151	19481
984	37189	19444
985	37289	19438
986	37336	19405
987	37375	19368
988	37409	19328
989	37442	19288
990	37477	19249
991	37512	19210
992	37548	19171
993	37583	19132
994	37622	19094
995	37656	19055
996	37692	19016
997	37734	18980
998	37779	18946
